# LTR_retriever Module 1 Filter Results
# Column descriptions:
# Sequence_ID: 序列标识符
# Total_Length: 完整序列长度
# Internal_Length: Internal region长度
# LTR5_Length: 5' LTR长度
# LTR3_Length: 3' LTR长度
# LTR_Internal_Ratio: LTR与internal region的长度比
# Internal_Check: Internal region长度检查结果
# Ratio_Check: LTR:internal比率检查结果
# Gap_Check: Gap检查结果
# Max_Gap_Length: 最大连续Gap长度
# TRF_Check: TRF检查结果
# Tandem_Repeats: 符合过滤条件的串联重复数量
# Filter_Status: 最终过滤状态 (PASS/FILTER)
# Filter_Reason: 过滤原因
#
Sequence_ID	Total_Length	Internal_Length	LTR5_Length	LTR3_Length	LTR_Internal_Ratio	Internal_Check	Ratio_Check	Gap_Check	Max_Gap_Length	TRF_Check	Tandem_Repeats	Filter_Status	Filter_Reason
LTR_17	5203	4326	439	439	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_18	12976	10743	1116	1118	0.104	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_19	4410	2825	793	793	0.281	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_20	6391	4462	965	965	0.216	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_21	12844	10636	1106	1103	0.104	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_22	5738	4948	395	396	0.080	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_23	1794	1213	291	291	0.240	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_24	4404	2868	769	768	0.268	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_25	12939	10426	1257	1257	0.121	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_26	12497	10496	1001	1001	0.095	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_27	6423	5454	485	485	0.089	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_28	15655	14618	519	519	0.036	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.036) < minimum (0.05)
LTR_29	8227	7346	441	441	0.060	PASS	PASS	PASS	0	FAIL	3	FILTER	Contains 3 tandem repeats (align_len>=50bp, period<=500bp)
LTR_30	12577	10529	1026	1023	0.097	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_31	6451	4505	968	979	0.216	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_32	5395	3219	1090	1087	0.338	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_33	6794	5905	444	446	0.075	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_34	3396	2619	389	389	0.149	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_35	8873	7587	632	655	0.085	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_36	7430	6551	440	440	0.067	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_37	12024	5773	3104	3148	0.541	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_38	11617	2839	4390	4389	1.546	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_39	12905	10718	1094	1094	0.102	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_40	6125	5292	417	417	0.079	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_41	10578	4245	3167	3167	0.746	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_42	6442	4502	963	978	0.216	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_43	12084	5762	3161	3162	0.549	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_44	6174	4459	858	858	0.192	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_45	13999	7324	3333	3343	0.456	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_46	7543	1441	3052	3051	2.118	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_47	15445	13119	1157	1170	0.089	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_48	5370	4745	313	313	0.066	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_49	10142	9789	177	177	0.018	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.018) < minimum (0.05)
LTR_50	10259	4986	2637	2637	0.529	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_51	8008	7442	284	283	0.038	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.038) < minimum (0.05)
LTR_52	10202	3864	3170	3169	0.820	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_53	12871	10714	1079	1079	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_54	12630	10411	1114	1106	0.107	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_55	12084	5779	3155	3151	0.546	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_56	6476	4502	995	980	0.219	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_57	12779	10318	1230	1232	0.119	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_58	6455	4502	971	983	0.217	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_59	12515	10446	1039	1031	0.099	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_60	4170	3091	540	540	0.175	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_61	8090	7207	442	442	0.061	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_62	11939	5946	2996	2998	0.504	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_63	4966	3509	729	729	0.208	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_64	12747	10511	1118	1119	0.106	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_65	3528	2519	504	506	0.200	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_66	12465	6260	3103	3103	0.496	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_67	9448	3940	2741	2768	0.699	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_68	4397	2825	792	781	0.278	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_69	5287	4694	299	295	0.063	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_70	12517	10345	1084	1089	0.105	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_71	6391	4500	933	959	0.210	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_72	11615	5381	3118	3117	0.579	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_73	5541	4714	412	416	0.088	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_74	8417	5975	1215	1228	0.204	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_75	5108	3950	577	582	0.147	PASS	PASS	PASS	0	FAIL	6	FILTER	Contains 6 tandem repeats (align_len>=50bp, period<=500bp)
LTR_76	2539	2322	109	109	0.047	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.047) < minimum (0.05)
LTR_77	3175	2955	112	109	0.037	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.037) < minimum (0.05)
LTR_78	4404	2821	792	792	0.281	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_79	12922	6640	3137	3146	0.473	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_80	3923	1986	964	974	0.488	PASS	PASS	PASS	0	FAIL	4	FILTER	Contains 4 tandem repeats (align_len>=50bp, period<=500bp)
LTR_81	7754	6627	565	563	0.085	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_82	6313	4305	996	1013	0.233	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_83	6461	4502	985	975	0.218	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_84	7403	5830	787	787	0.135	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_85	11673	5388	3145	3141	0.583	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_86	9219	6806	1194	1220	0.177	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_87	11611	9660	976	976	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_88	13962	12811	576	576	0.045	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.045) < minimum (0.05)
LTR_89	5208	4337	436	436	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_90	6741	5875	440	427	0.074	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_91	7706	5893	906	908	0.154	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_92	11615	5382	3119	3115	0.579	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_93	7301	6460	421	421	0.065	PASS	PASS	PASS	0	FAIL	5	FILTER	Contains 5 tandem repeats (align_len>=50bp, period<=500bp)
LTR_94	8889	7578	657	655	0.087	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_95	5017	4750	134	134	0.028	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.028) < minimum (0.05)
LTR_96	15893	13736	1083	1075	0.079	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_97	11410	5355	3028	3028	0.565	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_98	10906	2837	4035	4035	1.422	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_99	9387	3048	3171	3169	1.040	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_100	11323	10442	441	441	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_101	21234	14881	3177	3177	0.213	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_102	11056	2835	4113	4109	1.450	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_103	10756	4268	3244	3245	0.760	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_104	11303	10422	441	441	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_105	12098	5771	3164	3164	0.548	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_106	12092	5782	3154	3157	0.546	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_107	11763	5402	3181	3181	0.589	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_108	11340	10214	564	563	0.055	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_109	6455	4502	964	990	0.217	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_110	4479	2910	785	785	0.270	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_111	6466	4502	985	980	0.218	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_112	12098	5781	3159	3159	0.546	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_113	4087	2640	721	727	0.274	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_114	11320	10444	438	439	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_115	6587	5708	440	440	0.077	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_116	10291	8341	983	968	0.117	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_117	4978	3404	788	787	0.231	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_118	12857	10722	1068	1068	0.100	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_119	10206	3860	3172	3175	0.822	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_120	6283	5464	410	410	0.075	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_121	7219	6340	440	440	0.069	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_122	12852	10717	1068	1068	0.100	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_123	12894	10755	1070	1070	0.099	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_124	13502	6727	3388	3388	0.504	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_125	11926	6699	2622	2606	0.390	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_126	12891	10684	1104	1104	0.103	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_127	5840	5007	417	417	0.083	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_128	13284	10695	1282	1308	0.121	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_129	5939	5116	412	412	0.081	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_130	6800	6596	102	103	0.016	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.016) < minimum (0.05)
LTR_131	6452	4502	964	987	0.217	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_132	11461	10324	569	569	0.055	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_133	11944	5950	2997	2998	0.504	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_134	9940	3610	3166	3165	0.877	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_135	9465	2252	3607	3607	1.602	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_136	6416	4502	977	938	0.213	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_137	12891	10730	1082	1080	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_138	5578	3049	1268	1262	0.415	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_139	4774	4357	209	209	0.048	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.048) < minimum (0.05)
LTR_140	12885	10477	1210	1199	0.115	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_141	6455	5472	492	492	0.090	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_142	11304	10423	441	441	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_143	5215	4502	357	357	0.079	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_144	11978	5999	2978	3002	0.498	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_145	9462	7277	1092	1094	0.150	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_146	12804	10699	1053	1053	0.098	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_147	15113	9136	2989	2989	0.327	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_148	12841	10674	1084	1084	0.102	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_149	12871	10718	1077	1077	0.100	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_150	12015	5998	3010	3008	0.502	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_151	11275	2894	4190	4192	1.448	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_152	9004	2255	3379	3371	1.497	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_153	11317	2893	4213	4212	1.456	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_154	6432	4502	973	958	0.214	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_155	1753	1227	264	263	0.215	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_156	5185	4340	423	423	0.097	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_157	12397	9743	1327	1328	0.136	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_158	3203	2490	378	336	0.143	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_159	6438	4502	959	978	0.215	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_160	11484	5385	3049	3051	0.566	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_161	12917	10472	1225	1221	0.117	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_162	8745	1618	3564	3564	2.203	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_163	12916	10740	1088	1089	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_164	11170	10917	127	127	0.012	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.012) < minimum (0.05)
LTR_165	5275	4353	461	462	0.106	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_166	12787	10588	1100	1100	0.104	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_167	2115	1558	279	279	0.179	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_168	11541	5388	3076	3078	0.571	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_169	5016	4749	134	134	0.028	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.028) < minimum (0.05)
LTR_170	13675	12186	745	745	0.061	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_171	4788	4443	173	173	0.039	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.039) < minimum (0.05)
LTR_172	12829	10669	1080	1081	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_173	4716	3969	375	373	0.094	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_174	11606	9553	1033	1021	0.108	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_175	4380	2797	792	792	0.283	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_176	1648	1397	126	126	0.090	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_177	1648	1397	126	126	0.090	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_178	10276	9178	536	563	0.060	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_179	11556	5353	3103	3101	0.579	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_180	9390	7421	980	990	0.133	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_181	3114	2319	398	398	0.172	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_182	10385	9561	412	413	0.043	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.043) < minimum (0.05)
LTR_183	12459	2038	5210	5212	2.557	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_184	11415	10540	438	438	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_185	9712	7553	1080	1080	0.143	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_186	5660	4752	454	455	0.096	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_187	13158	10734	1213	1212	0.113	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_188	12075	5759	3158	3159	0.548	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_189	13423	6180	3623	3621	0.586	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_190	12874	10364	1255	1256	0.121	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_191	3881	2453	714	715	0.291	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_192	11986	5991	3001	2995	0.500	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_193	12495	6248	3125	3123	0.500	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_194	6312	5483	417	413	0.076	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_195	14147	6245	3958	3945	0.633	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_196	11112	10067	514	532	0.052	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_197	4432	1959	1245	1229	0.631	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_198	12919	10756	1082	1082	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_199	1963	1289	324	351	0.262	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_200	13523	12034	745	745	0.062	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_201	11285	10412	437	437	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_202	14572	13453	558	562	0.042	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.042) < minimum (0.05)
LTR_203	4916	4407	255	255	0.058	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_204	4715	4278	219	219	0.051	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_205	8430	7352	550	529	0.073	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_206	13992	6166	3956	3871	0.635	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_207	5273	3173	1040	1061	0.331	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_208	3946	1163	1392	1392	1.197	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_209	5117	4398	360	360	0.082	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_210	5371	3230	1071	1071	0.332	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_211	12842	10691	1076	1076	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_212	11648	5389	3130	3130	0.581	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_213	4919	3344	788	788	0.236	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_214	12876	6221	3328	3328	0.535	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_215	4754	4087	329	339	0.082	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_216	7765	6882	442	442	0.064	PASS	PASS	PASS	0	FAIL	1	FILTER	Contains 1 tandem repeats (align_len>=50bp, period<=500bp)
LTR_217	15413	13258	1078	1078	0.081	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_218	5381	3217	1083	1082	0.336	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_219	12957	10476	1240	1242	0.118	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_220	12884	10714	1085	1086	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_231	2682	611	1030	1042	1.696	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_232	9607	8455	574	579	0.068	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_233	12863	10710	1076	1078	0.101	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_234	6921	6096	411	415	0.068	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_235	15679	14314	681	685	0.048	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.048) < minimum (0.05)
LTR_236	6890	6087	402	402	0.066	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_237	5069	4546	262	262	0.058	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_238	14092	13375	358	360	0.027	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.027) < minimum (0.05)
LTR_239	15038	14761	138	140	0.009	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.009) < minimum (0.05)
LTR_240	2040	1649	195	197	0.119	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_241	5813	5345	233	236	0.044	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.044) < minimum (0.05)
LTR_242	3919	3647	129	144	0.037	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.037) < minimum (0.05)
LTR_243	2591	2026	286	280	0.140	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_244	4994	4069	467	459	0.114	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_245	1301	1085	109	108	0.100	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_246	2085	1276	404	406	0.317	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_247	2587	2298	147	143	0.063	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_248	12655	10864	897	895	0.082	PASS	PASS	PASS	0	PASS	0	PASS	NA
LTR_249	1525	1316	106	104	0.080	PASS	PASS	PASS	0	FAIL	2	FILTER	Contains 2 tandem repeats (align_len>=50bp, period<=500bp)
LTR_250	7156	6713	218	226	0.033	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.033) < minimum (0.05)
LTR_251	3385	3116	135	135	0.043	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.043) < minimum (0.05)
LTR_252	3782	3573	108	102	0.029	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.029) < minimum (0.05)
LTR_253	12703	12011	347	346	0.029	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.029) < minimum (0.05)
LTR_254	6271	5799	231	242	0.041	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.041) < minimum (0.05)
LTR_255	2604	2393	105	107	0.044	PASS	FAIL	PASS	0	PASS	0	FILTER	LTR:internal ratio (0.044) < minimum (0.05)
LTR_256	3026	2597	214	216	0.083	PASS	PASS	PASS	0	PASS	0	PASS	NA
