# Unified output from multiple LTR annotation tools
# Format: LTR_HARVEST
# predictions are reported in the following way
# s(ret) e(ret) l(ret) s(lLTR) e(lLTR) l(lLTR) s(rLTR) e(rLTR) l(rLTR) sim(LTRs) seq-id

# Results from LTR_FINDER
30432459 30445246 12787 30432459 30433558 1100 30444147 30445246 1100 0.995 Chr1
30801081 30803196 2115 30801081 30801359 279 30802918 30803196 279 0.925 Chr1
31019517 31031058 11541 31019517 31022592 3076 31027981 31031058 3078 0.997 Chr1
31122311 31127327 5016 31122311 31122444 134 31127194 31127327 134 1 Chr1
31138209 31151884 13675 31138209 31138953 745 31151140 31151884 745 0.993 Chr1
31234275 31239063 4788 31234275 31234447 173 31238891 31239063 173 0.994 Chr1
31438711 31451540 12829 31438711 31439790 1080 31450460 31451540 1081 0.991 Chr1
31907045 31911761 4716 31907045 31907419 375 31911389 31911761 373 0.981 Chr1
32205106 32216712 11606 32205106 32206138 1033 32215692 32216712 1021 0.979 Chr1
32517696 32522076 4380 32517696 32518487 792 32521285 32522076 792 0.982 Chr1
33118231 33119879 1648 33118231 33118356 126 33119754 33119879 126 0.984 Chr1
33138859 33140507 1648 33138859 33138984 126 33140382 33140507 126 0.984 Chr1
33416686 33426962 10276 33416686 33417221 536 33426400 33426962 563 0.925 Chr1
33850343 33861899 11556 33850343 33853445 3103 33858799 33861899 3101 0.998 Chr1
33979587 33988977 9390 33979587 33980566 980 33987988 33988977 990 0.944 Chr1
34235576 34238690 3114 34235576 34235973 398 34238293 34238690 398 0.962 Chr1
34264466 34274851 10385 34264466 34264877 412 34274439 34274851 413 0.981 Chr1
34335608 34348067 12459 34335608 34340817 5210 34342856 34348067 5212 0.999 Chr1
34749699 34761114 11415 34749699 34750136 438 34760677 34761114 438 0.993 Chr1
34821554 34831266 9712 34821554 34822633 1080 34830187 34831266 1080 1 Chr1
34970464 34976124 5660 34970464 34970917 454 34975670 34976124 455 0.978 Chr1
35035891 35049049 13158 35035891 35037103 1213 35047838 35049049 1212 0.991 Chr1
35277694 35289769 12075 35277694 35280851 3158 35286611 35289769 3159 0.999 Chr1
35443197 35456620 13423 35443197 35446819 3623 35453000 35456620 3621 0.999 Chr1
35668085 35680959 12874 35668085 35669339 1255 35679704 35680959 1256 0.99 Chr1
36032798 36036679 3881 36032798 36033511 714 36035965 36036679 715 0.944 Chr1
36545267 36557253 11986 36545267 36548267 3001 36554259 36557253 2995 0.993 Chr1
36572893 36585388 12495 36572893 36576017 3125 36582266 36585388 3123 0.997 Chr1
37164037 37170349 6312 37164037 37164453 417 37169937 37170349 413 0.971 Chr1
37207138 37221285 14147 37207138 37211095 3958 37217341 37221285 3945 0.983 Chr1
37429066 37440178 11112 37429066 37429579 514 37439647 37440178 532 0.923 Chr1
37479505 37483937 4432 37479505 37480749 1245 37482709 37483937 1229 0.945 Chr1
37489562 37502481 12919 37489562 37490643 1082 37501400 37502481 1082 0.996 Chr1
37822295 37824258 1963 37822295 37822618 324 37823908 37824258 351 0.889 Chr1
38345513 38359036 13523 38345513 38346257 745 38358292 38359036 745 0.997 Chr1
38580953 38592238 11285 38580953 38581389 437 38591802 38592238 437 0.986 Chr1
38772235 38786807 14572 38772235 38772792 558 38786246 38786807 562 0.952 Chr1
39336544 39341460 4916 39336544 39336798 255 39341206 39341460 255 0.988 Chr1
39403042 39407757 4715 39403042 39403260 219 39407539 39407757 219 1 Chr1
39709832 39718262 8430 39709832 39710381 550 39717734 39718262 529 0.935 Chr1
39746760 39760752 13992 39746760 39750715 3956 39756882 39760752 3871 0.964 Chr1
40041745 40047018 5273 40041745 40042784 1040 40045958 40047018 1061 0.976 Chr1
40374496 40378442 3946 40374496 40375887 1392 40377051 40378442 1392 0.973 Chr1
40853069 40858186 5117 40853069 40853428 360 40857827 40858186 360 0.986 Chr1
41030617 41035988 5371 41030617 41031687 1071 41034918 41035988 1071 0.996 Chr1
41409812 41422654 12842 41409812 41410887 1076 41421579 41422654 1076 0.998 Chr1
41422817 41434465 11648 41422817 41425946 3130 41431336 41434465 3130 0.999 Chr1
41752711 41757630 4919 41752711 41753498 788 41756843 41757630 788 0.997 Chr1
42507644 42520520 12876 42507644 42510971 3328 42517193 42520520 3328 0.999 Chr1
42527445 42532199 4754 42527445 42527773 329 42531861 42532199 339 0.892 Chr1
42785987 42793752 7765 42785987 42786428 442 42793311 42793752 442 0.989 Chr1
42887770 42903183 15413 42887770 42888847 1078 42902106 42903183 1078 0.999 Chr1
42895593 42900974 5381 42895593 42896675 1083 42899893 42900974 1082 0.999 Chr1
43026344 43039301 12957 43026344 43027583 1240 43038060 43039301 1242 0.996 Chr1
43256447 43269331 12884 43256447 43257531 1085 43268246 43269331 1086 0.988 Chr1
138438 144888 6450 138438 139416 979 143919 144888 970 0.974 Chr2
320583 331915 11332 320583 321023 441 331475 331915 441 0.995 Chr2
1767932 1772818 4886 1767932 1768135 204 1772615 1772818 204 0.995 Chr2
1802031 1814984 12953 1802031 1803118 1088 1813897 1814984 1088 0.997 Chr2
3433920 3439687 5767 3433920 3434305 386 3439302 3439687 386 0.99 Chr2
3460424 3465909 5485 3460424 3460600 177 3465733 3465909 177 0.972 Chr2
3897341 3908645 11304 3897341 3897783 443 3908203 3908645 443 0.998 Chr2
3911178 3924049 12871 3911178 3912257 1080 3922970 3924049 1080 0.999 Chr2
5427913 5439366 11453 5427913 5428474 562 5438804 5439366 563 0.977 Chr2
6860368 6866763 6395 6860368 6860852 485 6866279 6866763 485 1 Chr2

# Results from LTR_HARVEST
245211 247893 2683 245211 246240 1030 246852 247893 1042 95.97 Chr1
274446 284053 9608 274446 275019 574 283475 284053 579 96.72 Chr1
465118 477981 12864 465118 466193 1076 476904 477981 1078 99.63 Chr1
487006 493927 6922 487006 487416 411 493513 493927 415 94.94 Chr1
816127 831806 15680 816127 816807 681 831122 831806 685 99.42 Chr1
832967 839857 6891 832967 833368 402 839456 839857 402 99.00 Chr1
905437 910506 5070 905437 905698 262 910245 910506 262 95.80 Chr1
939753 953845 14093 939753 940110 358 953486 953845 360 99.17 Chr1
954317 969355 15039 954317 954454 138 969216 969355 140 92.86 Chr1
1161455 1163495 2041 1161455 1161649 195 1163299 1163495 197 88.83 Chr1
1258213 1264026 5814 1258213 1258445 233 1263791 1264026 236 98.31 Chr1
1351776 1355695 3920 1351776 1351904 129 1355552 1355695 144 86.81 Chr1
1382717 1385308 2592 1382717 1383002 286 1385029 1385308 280 95.10 Chr1
1944468 1949462 4995 1944468 1944934 467 1949004 1949462 459 92.29 Chr1
2010277 2011578 1302 2010277 2010385 109 2011471 2011578 108 88.99 Chr1
2026190 2028275 2086 2026190 2026593 404 2027870 2028275 406 90.89 Chr1
2031735 2034322 2588 2031735 2031881 147 2034180 2034322 143 90.48 Chr1
2180778 2193433 12656 2180778 2181674 897 2192539 2193433 895 99.55 Chr1
2196023 2197548 1526 2196023 2196128 106 2197445 2197548 104 89.62 Chr1
2222371 2229527 7157 2222371 2222588 218 2229302 2229527 226 93.81 Chr1
2535678 2539063 3386 2535678 2535812 135 2538929 2539063 135 100.00 Chr1
2646814 2650596 3783 2646814 2646921 108 2650495 2650596 102 87.04 Chr1
2674952 2687655 12704 2674952 2675298 347 2687310 2687655 346 96.54 Chr1
2723334 2729605 6272 2723334 2723564 231 2729364 2729605 242 85.12 Chr1
2816288 2818892 2605 2816288 2816392 105 2818786 2818892 107 90.65 Chr1
2832594 2835620 3027 2832594 2832807 214 2835405 2835620 216 87.04 Chr1
2908922 2917721 8800 2908922 2909994 1073 2916649 2917721 1073 100.00 Chr1
3014208 3016430 2223 3014208 3014704 497 3015934 3016430 497 88.53 Chr1
3229893 3235692 5800 3229893 3230121 229 3235463 3235692 230 96.09 Chr1
3242287 3257151 14865 3242287 3243119 833 3256318 3257151 834 93.41 Chr1
3300099 3303449 3351 3300099 3300360 262 3303189 3303449 261 90.84 Chr1
3692573 3695367 2795 3692573 3692713 141 3695227 3695367 141 87.94 Chr1
4310012 4314455 4444 4310012 4310456 445 4314006 4314455 450 92.67 Chr1
4469011 4483872 14862 4469011 4469451 441 4483432 4483872 441 100.00 Chr1
4638958 4645053 6096 4638958 4639462 505 4644549 4645053 505 100.00 Chr1
4804527 4815852 11326 4804527 4804675 149 4815707 4815852 146 85.91 Chr1
5074040 5081577 7538 5074040 5074169 130 5081451 5081577 127 96.15 Chr1
5184610 5186735 2126 5184610 5184924 315 5186430 5186735 306 97.14 Chr1
5193518 5197595 4078 5193518 5193778 261 5197343 5197595 253 91.57 Chr1
5621169 5629838 8670 5621169 5621315 147 5629693 5629838 146 87.07 Chr1
6310542 6312160 1619 6310542 6311160 619 6311549 6312160 612 88.85 Chr1
6366031 6378531 12501 6366031 6366289 259 6378267 6378531 265 95.85 Chr1
6382854 6384971 2118 6382854 6382962 109 6384860 6384971 112 89.29 Chr1
6415985 6417298 1314 6415985 6416089 105 6417194 6417298 105 91.43 Chr1
6512474 6518671 6198 6512474 6512586 113 6518560 6518671 112 88.50 Chr1
6713523 6717770 4248 6713523 6714112 590 6717185 6717770 586 87.29 Chr1
6719653 6728557 8905 6719653 6720004 352 6728194 6728557 364 89.29 Chr1
6745812 6758683 12872 6745812 6746895 1084 6757600 6758683 1084 99.45 Chr1
7198093 7204874 6782 7198093 7198295 203 7204668 7204874 207 93.72 Chr1
7598326 7599893 1568 7598326 7598444 119 7599773 7599893 121 86.78 Chr1
7619559 7630574 11016 7619559 7619813 255 7630325 7630574 250 87.84 Chr1
8033663 8039136 5474 8033663 8034488 826 8038323 8039136 814 97.94 Chr1
8162777 8168194 5418 8162777 8163876 1100 8167095 8168194 1100 99.18 Chr1
8236440 8239528 3089 8236440 8236731 292 8239239 8239528 290 86.30 Chr1
8457442 8461534 4093 8457442 8457898 457 8461073 8461534 462 93.51 Chr1
8641926 8654727 12802 8641926 8645090 3165 8651555 8654727 3173 99.72 Chr1
8822542 8827745 5204 8822542 8822981 440 8827306 8827745 440 99.77 Chr1
8862574 8875550 12977 8862574 8863700 1127 8874432 8875550 1119 98.31 Chr1
8973514 8977949 4436 8973514 8974341 828 8977136 8977949 814 97.34 Chr1
9039806 9041723 1918 9039806 9040131 326 9041396 9041723 328 91.16 Chr1
9046032 9048711 2680 9046032 9046367 336 9048368 9048711 344 92.15 Chr1
9124266 9132660 8395 9124266 9124771 506 9132156 9132660 505 98.42 Chr1
9214590 9220981 6392 9214590 9215556 967 9220014 9220981 968 99.38 Chr1
9286167 9295966 9800 9286167 9286468 302 9295665 9295966 302 88.08 Chr1
9303886 9309830 5945 9303886 9304107 222 9309619 9309830 212 87.84 Chr1
9361053 9362962 1910 9361053 9361331 279 9362688 9362962 275 97.49 Chr1
9409129 9416727 7599 9409129 9409430 302 9416432 9416727 296 96.03 Chr1
9531582 9544428 12847 9531582 9532691 1110 9543323 9544428 1106 98.65 Chr1
9619046 9624783 5738 9619046 9619440 395 9624388 9624783 396 96.97 Chr1
9655366 9659731 4366 9655366 9655707 342 9659389 9659731 343 93.00 Chr1
9826762 9832291 5530 9826762 9826921 160 9832133 9832291 159 93.75 Chr1
9835858 9846046 10189 9835858 9837805 1948 9844100 9846046 1947 96.71 Chr1
9942375 9944169 1795 9942375 9942668 294 9943873 9944169 297 95.96 Chr1
9956621 9961025 4405 9956621 9957392 772 9960252 9961025 774 94.83 Chr1
9989028 10001967 12940 9989028 9990285 1258 10000705 10001967 1263 98.57 Chr1
10030395 10042892 12498 10030395 10031396 1002 10041888 10042892 1005 98.21 Chr1
10056636 10058053 1418 10056636 10056828 193 10057863 10058053 191 92.23 Chr1
10070759 10077194 6436 10070759 10071254 496 10076690 10077194 505 97.03 Chr1
10145617 10151731 6115 10145617 10145974 358 10151370 10151731 362 94.75 Chr1
10411858 10426422 14565 10411858 10412857 1000 10425418 10426422 1005 97.31 Chr1
10537615 10548449 10835 10537615 10538600 986 10547464 10548449 986 94.52 Chr1
10569547 10577773 8227 10569547 10569987 441 10577333 10577773 441 99.77 Chr1
10646823 10648761 1939 10646823 10647667 845 10647914 10648761 848 93.04 Chr1
10713461 10720898 7438 10713461 10713624 164 10720731 10720898 168 93.45 Chr1
10731667 10742490 10824 10731667 10733573 1907 10740583 10742490 1908 96.23 Chr1
10768297 10776351 8055 10768297 10768490 194 10776163 10776351 189 88.14 Chr1
10784386 10797432 13047 10784386 10787317 2932 10794491 10797432 2942 99.29 Chr1
10852352 10864928 12577 10852352 10853377 1026 10863906 10864928 1023 98.05 Chr1
10947417 10949283 1867 10947417 10947521 105 10949176 10949283 108 85.19 Chr1
11066435 11079433 12999 11066435 11066551 117 11079314 11079433 120 85.00 Chr1
11141626 11152912 11287 11141626 11142072 447 11152472 11152912 441 94.85 Chr1
11195444 11197296 1853 11195444 11195625 182 11197113 11197296 184 95.65 Chr1
11242796 11244167 1372 11242796 11243011 216 11243960 11244167 208 89.81 Chr1
11300360 11307154 6795 11300360 11300805 446 11306708 11307154 447 99.33 Chr1
11381563 11393170 11608 11381563 11382266 704 11392464 11393170 707 92.93 Chr1
11521734 11525130 3397 11521734 11522128 395 11524740 11525130 391 94.18 Chr1
11548800 11554819 6020 11548800 11548912 113 11554704 11554819 116 87.07 Chr1
11830989 11839798 8810 11830989 11831556 568 11839237 11839798 562 92.25 Chr1
11841013 11845268 4256 11841013 11841721 709 11844561 11845268 708 94.64 Chr1
11885777 11893207 7431 11885777 11886217 441 11892766 11893207 442 99.77 Chr1
11929261 11938649 9389 11929261 11929392 132 11938527 11938649 123 87.88 Chr1
11947973 11951790 3818 11947973 11948362 390 11951401 11951790 390 96.41 Chr1
12007084 12018968 11885 12007084 12008031 948 12018016 12018968 953 98.32 Chr1
12042961 12052297 9337 12042961 12043327 367 12051940 12052297 358 95.10 Chr1
12068323 12075037 6715 12068323 12068748 426 12074622 12075037 416 89.44 Chr1
12165954 12172117 6164 12165954 12166488 535 12171570 12172117 548 91.42 Chr1
12195957 12199236 3280 12195957 12196138 182 12199052 12199236 185 94.05 Chr1
12220850 12231675 10826 12220850 12220960 111 12231559 12231675 117 88.89 Chr1
12311175 12314513 3339 12311175 12311367 193 12314317 12314513 197 89.34 Chr1
12409234 12414455 5222 12409234 12409441 208 12414253 12414455 203 97.12 Chr1
12434099 12437363 3265 12434099 12434541 443 12436921 12437363 443 97.97 Chr1
