SeqID	Retrotransposon	Left_LTR	Right_LTR			Left_TSD	Right_TSD	Polypurine Tract			TG	CA
Start	End	Start	End	Start	End	ID	Start	End	Start	End	Start	End	Strand	Purine%	Start	End
Chr1	9531581	9544429	9531581	9532691	9543322	9544429	98	---	---	---	---	9542948	9542978	+	74	9531582	9544424
Chr1	9573919	9580411	9573933	9574937	9579437	9580411	89	9573913	9573918	9580412	9580417	9575142	9575155	-	85	9573928	9580409
Chr1	9619045	9624783	9619045	9619440	9624387	9624783	96	---	---	---	---	9624238	9624315	+	71	9619045	9624781
Chr1	9778580	9792313	9778580	9778719	9792171	9792313	86	---	---	---	---	9778938	9778964	-	74	---	---
Chr1	9826761	9832292	9826761	9826921	9832132	9832292	93	---	---	---	---	9831938	9831964	+	74	9826763	9832289
Chr1	9826959	9832138	9826969	9827226	9831863	9832133	88	9826954	9826958	9832139	9832143	9831685	9831699	+	80	9826972	9832131
Chr1	9835857	9847160	9835857	9838657	9844099	9847160	88	---	---	---	---	9838875	9838904	-	80	---	---
Chr1	9956615	9961024	9956615	9957389	9960251	9961024	95	---	---	---	---	9960129	9960182	+	70	9956620	9961022
Chr1	9989022	10001974	9989025	9990285	10000707	10001967	98	9989017	9989021	10001975	10001979	9990626	9990656	-	74	9989028	10001965
Chr1	10030395	10042892	10030395	10031396	10041891	10042892	98	---	---	---	---	10031859	10031921	-	82	10030395	10042890
Chr1	10070758	10077182	10070758	10071244	10076696	10077182	99	---	---	---	---	10076424	10076466	+	72	10070758	10077179
Chr1	10145195	10150293	10145195	10145452	10150033	10150293	87	---	---	---	---	---	---	0	--	---	---
Chr1	10322324	10333063	10322324	10322491	10332895	10333063	89	---	---	---	---	10332543	10332563	+	80	10322329	10333047
Chr1	10411861	10426740	10411861	10413177	10425423	10426740	97	---	---	---	---	10413656	10413689	-	79	---	---
Chr1	10428052	10432257	10428052	10428374	10431928	10432248	85	10428046	10428051	10432258	10432263	10428477	10428492	-	75	---	---
Chr1	10537614	10548451	10537614	10538600	10547463	10548451	94	---	---	---	---	10547084	10547102	+	78	10537614	10548446
Chr1	10569541	10577778	10569546	10569987	10577332	10577773	99	10569526	10569540	10577779	10577793	10576965	10576998	+	73	10569546	10577771
Chr1	10731666	10742494	10731666	10733573	10740588	10742494	96	---	---	---	---	10733726	10733748	-	86	10731670	10742492
Chr1	10756333	10763733	10756333	10757536	10762566	10763733	88	10756328	10756332	10763734	10763738	10757764	10757787	-	79	10756333	10763718
Chr1	10784380	10797440	10784380	10787332	10794490	10797440	99	---	---	---	---	10787445	10787483	-	76	---	---
Chr1	10852340	10864931	10852351	10853377	10863905	10864928	97	10852335	10852339	10864932	10864936	10863378	10863441	+	82	10852348	10864928
Chr1	10951363	10957832	10951371	10952340	10956843	10957823	94	10951357	10951362	10957833	10957838	10952545	10952558	-	85	10951372	10957821
Chr1	11123581	11128979	11123581	11124674	11127889	11128979	99	---	---	---	---	11124779	11124794	-	75	11123584	11128977
Chr1	11141634	11152911	11141634	11142072	11152474	11152911	96	---	---	---	---	11142412	11142438	-	70	11141634	11152909
Chr1	11300355	11307161	11300359	11300805	11306707	11307155	99	11300348	11300354	11307162	11307168	11300870	11300898	-	72	11300356	11307151
Chr1	11308527	11316159	11308529	11308824	11315860	11316156	95	11308522	11308526	11316160	11316164	11309098	11309134	-	78	11308529	11316158
Chr1	11381564	11393330	11381564	11382420	11392463	11393330	92	---	---	---	---	11392083	11392101	+	78	11381572	11393324
Chr1	11521732	11525129	11521732	11522122	11524739	11525129	95	---	---	---	---	11522197	11522209	-	84	11521733	11525127
Chr1	11830912	11839788	11830912	11831547	11839130	11839788	92	---	---	---	---	11838750	11838812	+	80	11830913	11839786
Chr1	11841011	11845287	11841014	11841721	11844565	11845272	95	11841006	11841010	11845288	11845292	11844438	11844491	+	70	11841014	11845282
Chr1	11885775	11893207	11885775	11886217	11892765	11893207	99	---	---	---	---	11892671	11892699	+	72	11885777	11893205
Chr1	11928264	11939073	11928264	11929780	11937545	11939073	93	---	---	---	---	11937264	11937281	+	77	11928270	11939071
Chr1	11947971	11951790	11947971	11948362	11951400	11951790	96	---	---	---	---	11948485	11948496	-	83	11947972	11951787
Chr1	12007067	12018978	12007080	12008031	12018015	12018966	98	12007062	12007066	12018979	12018983	12017602	12017790	+	95	---	---
Chr1	12014689	12018966	12014689	12015040	12018615	12018966	98	---	---	---	---	12015132	12015147	-	81	---	---
Chr1	12040865	12051458	12040865	12042997	12049344	12051458	96	---	---	---	---	12049030	12049068	+	74	---	---
Chr1	12068315	12075084	12068324	12068773	12074621	12075083	89	12068310	12068314	12075085	12075089	12074345	12074359	+	80	---	---
Chr1	12165939	12172125	12165946	12166488	12171569	12172111	93	12165934	12165938	12172126	12172130	12171315	12171339	+	80	12165942	12172122
Chr1	12195957	12199232	12195957	12196138	12199051	12199232	96	---	---	---	---	12196268	12196284	-	76	12195957	12199231
Chr1	12228414	12236710	12228414	12228624	12236503	12236710	86	---	---	---	---	12228949	12228967	-	73	---	---
Chr1	12311105	12314517	12311105	12311367	12314255	12314517	90	---	---	---	---	12311490	12311510	-	76	---	---
Chr1	12379530	12387745	12379530	12379933	12387339	12387745	88	---	---	---	---	12387033	12387055	+	73	12379531	12387741
Chr1	12409233	12414460	12409233	12409441	12414252	12414460	99	---	---	---	---	12414028	12414048	+	80	12409242	12414455
Chr1	12434528	12438863	12434528	12435418	12437972	12438863	97	---	---	---	---	12435480	12435519	-	82	12434528	12438857
Chr1	12438850	12452870	12438859	12439075	12452649	12452865	93	12438844	12438849	12452871	12452876	12451970	12451995	+	76	12438854	12452863
Chr1	12454815	12466871	12454829	12457939	12463705	12466859	97	12454810	12454814	12466872	12466876	12458086	12458107	-	86	12454827	12466867
Chr1	12531213	12542830	12531213	12535603	12538441	12542830	99	---	---	---	---	12538299	12538312	+	92	12531213	12542828
Chr1	12551452	12564582	12551452	12551617	12564417	12564582	89	---	---	---	---	12563778	12563810	+	72	12551454	12564576
Chr1	12598068	12610974	12598068	12599163	12609879	12610974	99	---	---	---	---	12599646	12599683	-	86	12598068	12610971
Chr1	12718709	12724837	12718709	12719129	12724417	12724837	99	---	---	---	---	12719193	12719221	-	72	12718709	12724832
Chr1	12734637	12742465	12734637	12734792	12742310	12742465	85	---	---	---	---	12742094	12742164	+	74	12734639	12742461
Chr1	12791738	12802337	12791744	12794911	12799155	12802322	99	12791733	12791737	12802338	12802342	12795088	12795112	-	84	12791744	12802336
Chr1	12860729	12867171	12860729	12861692	12866193	12867171	98	---	---	---	---	12861897	12861910	-	85	12860729	12867169
Chr1	12899764	12904869	12899764	12900093	12904540	12904869	99	---	---	---	---	12900215	12900241	-	74	12899764	12904867
Chr1	12909721	12914083	12909732	12909848	12913953	12914069	90	12909715	12909720	12914084	12914089	12913747	12913766	+	70	12909727	12914082
Chr1	12948189	12960273	12948189	12951350	12957111	12960273	99	---	---	---	---	12951506	12951526	-	85	12948189	12960271
Chr1	12990579	12996755	12990579	12991439	12995895	12996755	99	---	---	---	---	12995716	12995728	+	76	12990581	12996753
Chr1	13012817	13026819	13012817	13016153	13023473	13026819	99	---	---	---	---	13016465	13016496	-	71	13012817	13026818
Chr1	13028088	13041947	13028088	13031813	13038097	13041947	95	---	---	---	---	13037928	13038017	+	72	13028089	13041931
Chr1	13043536	13051772	13043536	13044353	13050958	13051772	95	---	---	---	---	13044496	13044540	-	73	13043536	13051769
Chr1	13056184	13070883	13056184	13058517	13068569	13070883	91	---	---	---	---	13058800	13058816	-	88	---	---
Chr1	13061020	13068581	13061025	13064078	13065517	13068569	99	13061015	13061019	13068582	13068586	13064165	13064178	-	100	13061026	13068571
Chr1	13076300	13089796	13076300	13077111	13088985	13089796	97	---	---	---	---	13077560	13077579	-	80	---	---
Chr1	13110745	13117554	13110758	13111197	13117107	13117544	92	13110739	13110744	13117555	13117560	13117011	13117039	+	72	13110746	13117549
Chr1	13126197	13129348	13126197	13126510	13129035	13129348	92	---	---	---	---	13126587	13126637	-	72	---	---
Chr1	13179185	13191182	13179185	13179448	13190921	13191182	96	---	---	---	---	13179985	13180006	-	77	13179185	13191181
Chr1	13220154	13235049	13220154	13220715	13234489	13235049	95	---	---	---	---	13233924	13233957	+	85	---	---
Chr1	13447622	13453006	13447622	13447949	13452679	13453006	97	---	---	---	---	13452580	13452613	+	76	13447622	13452998
Chr1	13459788	13469931	13459788	13459966	13469753	13469931	95	---	---	---	---	13460392	13460434	-	74	13459788	13469928
Chr1	13494939	13505468	13494939	13496099	13504373	13505468	90	---	---	---	---	13496421	13496442	-	81	---	---
Chr1	13618452	13622563	13618452	13619175	13621840	13622563	92	---	---	---	---	13619289	13619309	-	76	13618452	13622561
Chr1	13624738	13635014	13624753	13627391	13632375	13635013	99	13624733	13624737	13635015	13635019	13627517	13627538	-	95	13624744	13635011
Chr1	13643120	13651129	13643120	13643405	13650845	13651129	93	---	---	---	---	13643644	13643730	-	71	13643120	13651126
Chr1	13737088	13747291	13737088	13740259	13744121	13747291	99	---	---	---	---	13743971	13743992	+	95	13737088	13747288
Chr1	13862941	13875813	13862941	13864021	13874733	13875813	99	---	---	---	---	13864543	13864557	-	86	13862941	13875810
Chr1	13953526	13955201	13953530	13953940	13954788	13955198	99	13953521	13953525	13955202	13955206	---	---	0	--	13953527	13955194
Chr1	13997414	14009115	13997426	13998773	14007687	14009101	87	13997409	13997413	14009116	14009120	13999155	13999174	-	75	13997416	14009099
Chr1	13997991	14008509	13997991	13998248	14008252	14008509	98	---	---	---	---	13998726	13998749	-	83	---	---
Chr1	14089016	14094683	14089016	14089417	14094285	14094683	96	---	---	---	---	14094189	14094217	+	72	14089016	14094665
Chr1	14150572	14161689	14150572	14151841	14160423	14161689	89	---	---	---	---	14160209	14160239	+	70	---	---
Chr1	14252937	14262340	14252937	14253119	14262151	14262340	86	---	---	---	---	14261699	14261719	+	80	---	---
Chr1	14322083	14324736	14322092	14322386	14324441	14324729	87	14322078	14322082	14324737	14324741	14324338	14324383	+	78	14322085	14324724
Chr1	14335424	14338864	14335424	14336536	14337754	14338864	94	---	---	---	---	---	---	0	--	---	---
Chr1	14451170	14464669	14451170	14451588	14464251	14464669	93	---	---	---	---	14463756	14463772	+	82	---	---
Chr1	14490116	14502765	14490131	14491248	14501655	14502764	98	14490111	14490115	14502766	14502770	14501134	14501198	+	81	14490116	14502762
Chr1	14523394	14526059	14523394	14523706	14525747	14526059	86	---	---	---	---	14523797	14523808	-	83	14523398	14526048
Chr1	14534884	14543739	14534884	14535514	14543089	14543738	92	14534879	14534883	14543740	14543744	14542710	14542769	+	80	14534884	14543735
Chr1	14650537	14659350	14650537	14651907	14658009	14659350	94	---	---	---	---	14652021	14652055	-	74	---	---
Chr1	14660482	14672570	14660486	14663641	14669419	14672570	99	14660473	14660481	14672571	14672579	14669241	14669262	+	86	14660486	14672568
Chr1	14711962	14721320	14711962	14712605	14720654	14721320	88	---	---	---	---	14720261	14720286	+	76	---	---
Chr1	14840116	14850754	14840116	14841142	14849736	14850754	91	---	---	---	---	14849650	14849683	+	94	---	---
Chr1	14844406	14849210	14844406	14846078	14847532	14849210	88	---	---	---	---	---	---	0	--	---	---
Chr1	14870335	14876811	14870335	14871330	14875831	14876811	97	---	---	---	---	14875612	14875625	+	85	14870335	14876809
Chr1	15036632	15049411	15036632	15037862	15048179	15049411	98	---	---	---	---	15038322	15038378	-	80	15036632	15049409
Chr1	15207083	15209644	15207083	15207396	15209327	15209644	85	---	---	---	---	15209228	15209247	+	80	---	---
Chr1	15218232	15222379	15218246	15219475	15221139	15222376	96	15218226	15218231	15222380	15222385	15219561	15219575	-	73	15218238	15222373
Chr1	15241110	15251159	15241110	15241391	15250878	15251159	99	---	---	---	---	15250521	15250557	+	70	15241110	15251158
Chr1	15242321	15253373	15242321	15244936	15250782	15253373	98	---	---	---	---	15250521	15250557	+	70	15242330	15253362
Chr1	15301258	15307713	15301258	15302229	15306730	15307713	97	---	---	---	---	15302434	15302447	-	85	15301258	15307711
Chr1	15407638	15410752	15407638	15408100	15410296	15410752	88	---	---	---	---	15408168	15408180	-	76	15407651	15410736
Chr1	15516707	15529222	15516707	15517746	15528191	15529222	97	---	---	---	---	15527668	15527726	+	83	15516707	15529220
Chr1	15537075	15541246	15537075	15537616	15540705	15541246	94	---	---	---	---	15540631	15540657	+	77	15537075	15541243
Chr1	15597283	15605373	15597283	15597725	15604931	15605373	99	---	---	---	---	15597792	15597819	-	71	15597283	15605371
Chr1	15610410	15616861	15610410	15610964	15616306	15616860	95	15610405	15610409	15616862	15616866	15611174	15611202	-	82	15610410	15616860
Chr1	15638981	15644456	15638981	15640293	15643136	15644456	88	---	---	---	---	---	---	0	--	15638993	15644448
Chr1	15695649	15701900	15695649	15697764	15699729	15701900	88	---	---	---	---	15699629	15699664	+	72	---	---
Chr1	15714203	15724152	15714203	15714592	15723760	15724152	87	---	---	---	---	15723420	15723488	+	73	15714204	15724134
Chr1	15748321	15752595	15748321	15748951	15751966	15752595	99	---	---	---	---	15748987	15749008	-	77	---	---
Chr1	15798342	15804578	15798342	15798448	15804468	15804578	94	---	---	---	---	---	---	0	--	15798342	15804559
Chr1	15823269	15830282	15823269	15823630	15829921	15830282	96	---	---	---	---	15823856	15823887	-	71	15823269	15830280
Chr1	15864700	15876640	15864700	15867697	15873641	15876640	99	---	---	---	---	15873460	15873494	+	77	15864700	15876637
Chr1	15982143	15989634	15982143	15983382	15988486	15989634	89	---	---	---	---	---	---	0	--	15982145	15989625
Chr1	16040677	16045655	16040686	16041415	16044923	16045652	96	16040669	16040676	16045656	16045663	16044829	16044845	+	70	16040686	16045650
Chr1	16073807	16076682	16073813	16073947	16076533	16076668	88	16073801	16073806	16076683	16076688	---	---	0	--	16073815	16076677
Chr1	16159383	16172130	16159383	16160501	16171011	16172130	99	---	---	---	---	16170636	16170666	+	74	16159383	16172128
Chr1	16176197	16187655	16176197	16177404	16186480	16187655	90	---	---	---	---	16186026	16186060	+	71	---	---
Chr1	16188328	16194573	16188328	16189354	16193547	16194573	95	---	---	---	---	16189527	16189554	-	71	16188328	16194569
Chr1	16196019	16199550	16196019	16196526	16199041	16199550	96	---	---	---	---	16198925	16198938	+	78	16196019	16199545
Chr1	16211893	16224362	16211893	16215000	16221255	16224362	99	---	---	---	---	16221166	16221189	+	79	16211894	16224361
Chr1	16234961	16244116	16234961	16235559	16243506	16244116	90	---	---	---	---	16235939	16235957	-	89	16234973	16244113
Chr1	16246569	16251116	16246575	16246755	16250931	16251111	94	16246563	16246568	16251117	16251122	16250727	16250766	+	72	16246577	16251115
Chr1	16268969	16278417	16268969	16271710	16275649	16278417	98	---	---	---	---	16275501	16275523	+	91	16268969	16278415
Chr1	16307565	16311963	16307565	16308358	16311181	16311963	97	---	---	---	---	16311055	16311108	+	70	16307566	16311961
Chr1	16338600	16342718	16338600	16339114	16342197	16342718	92	---	---	---	---	16339155	16339166	-	75	16338605	16342703
Chr1	16394131	16397483	16394131	16394330	16397284	16397483	92	---	---	---	---	16397191	16397272	+	78	16394131	16397478
Chr1	16399672	16413864	16399680	16400245	16413289	16413854	95	16399666	16399671	16413865	16413870	16400885	16400898	-	71	16399681	16413857
Chr1	16437134	16442439	16437149	16437448	16442141	16442436	94	16437129	16437133	16442440	16442444	16442110	16442139	+	73	16437149	16442437
Chr1	16502857	16511595	16502872	16503320	16511167	16511588	92	16502852	16502856	16511596	16511600	16510803	16510832	+	73	16502859	16511590
Chr1	16526148	16531485	16526155	16526628	16531011	16531484	94	16526143	16526147	16531486	16531490	---	---	0	--	16526152	16531482
Chr1	16533418	16547346	16533418	16534038	16546746	16547346	92	---	---	---	---	16546148	16546178	+	87	---	---
Chr1	16574110	16586632	16574110	16575199	16585538	16586632	97	---	---	---	---	16575625	16575716	-	80	16574112	16586630
Chr1	16600424	16606821	16600424	16601363	16605856	16606821	91	---	---	---	---	16605643	16605656	+	85	16600426	16606819
Chr1	16618242	16629888	16618253	16621376	16626750	16629873	98	16618237	16618241	16629889	16629893	16621616	16621629	-	85	16618247	16629886
Chr1	16655355	16659431	16655355	16656393	16658394	16659431	96	---	---	---	---	16658294	16658367	+	72	16655370	16659427
Chr1	16673346	16678891	16673346	16673762	16678471	16678891	93	---	---	---	---	16673882	16673909	-	75	16673349	16678888
Chr1	16748048	16753403	16748048	16748721	16752741	16753403	90	---	---	---	---	16748908	16748921	-	71	16748066	16753399
Chr1	16753816	16757218	16753818	16754789	16756227	16757209	95	16753810	16753815	16757219	16757224	16754805	16754816	-	75	16753819	16757210
Chr1	16759729	16767493	16759729	16760638	16766583	16767492	98	16759723	16759728	16767494	16767499	16766311	16766330	+	85	16759729	16767490
Chr1	16770066	16781814	16770078	16771026	16780865	16781812	97	16770061	16770065	16781815	16781819	16771425	16771436	-	75	---	---
Chr1	16784781	16788705	16784788	16786157	16787337	16788697	94	16784776	16784780	16788706	16788710	16786172	16786183	-	75	---	---
Chr1	16799467	16802937	16799477	16800073	16802331	16802927	96	16799457	16799466	16802938	16802947	---	---	0	--	16799467	16802927
Chr1	16803516	16808823	16803516	16804130	16808209	16808823	92	16803502	16803515	16808824	16808837	---	---	0	--	16803520	16808821
Chr1	16810603	16814437	16810603	16811199	16813841	16814437	99	---	---	---	---	16813744	16813755	+	75	16810614	16814434
Chr1	16812981	16815972	16812981	16813941	16815037	16815969	92	16812975	16812980	16815973	16815978	---	---	0	--	---	---
Chr1	16816703	16820999	16816703	16818769	16818933	16820999	99	---	---	---	---	16818833	16818860	+	78	16816714	16820982
Chr1	16830596	16834245	16830608	16831004	16833848	16834242	92	16830591	16830595	16834246	16834250	---	---	0	--	---	---
Chr1	16837804	16847192	16837804	16838214	16846781	16847192	96	---	---	---	---	16846352	16846371	+	75	16837822	16847189
Chr1	16838216	16843365	16838216	16839074	16842507	16843365	98	---	---	---	---	16842477	16842505	+	79	16838216	16843363
Chr1	16862687	16866009	16862687	16863404	16865292	16866009	99	---	---	---	---	---	---	0	--	16862692	16866007
Chr1	16866445	16878647	16866445	16867255	16877819	16878647	87	16866438	16866444	16878648	16878654	16867753	16867782	-	73	16866445	16878631
Chr1	16884197	16890604	16884197	16884476	16890323	16890604	96	---	---	---	---	16890162	16890186	+	76	---	---
Chr1	16885336	16890336	16885349	16886708	16888964	16890323	99	16885329	16885335	16890337	16890343	16886719	16886740	-	90	16885339	16890326
Chr1	16898416	16901720	16898424	16899221	16900914	16901707	89	16898411	16898415	16901721	16901725	16900870	16900888	+	73	16898417	16901713
Chr1	16910425	16914137	16910425	16911288	16913274	16914137	98	---	---	---	---	16911307	16911325	-	78	16910425	16914136
Chr1	16920579	16923409	16920579	16921086	16922902	16923409	92	---	---	---	---	16922882	16922900	+	73	16920582	16923396
Chr1	16942319	16945236	16942319	16943018	16944530	16945236	95	---	---	---	---	16944442	16944460	+	78	16942323	16945227
Chr1	16947844	16951989	16947856	16948252	16951592	16951986	92	16947839	16947843	16951990	16951994	16951466	16951519	+	70	---	---
Chr1	16962011	16972375	16962011	16962933	16971472	16972375	91	---	---	---	---	16971165	16971221	+	73	16962012	16972373
Chr1	16974765	16979173	16974765	16975561	16978377	16979173	99	---	---	---	---	16975634	16975687	-	70	16974769	16979171
Chr1	17003896	17010615	17003898	17005104	17009389	17010612	91	17003891	17003895	17010616	17010620	17005212	17005231	-	90	---	---
Chr1	17034117	17040564	17034117	17035283	17039392	17040564	92	---	---	---	---	17035411	17035441	-	87	17034121	17040563
Chr1	17051365	17064299	17051365	17054502	17061141	17064287	98	17051359	17051364	17064300	17064305	17060965	17060987	+	86	17051365	17064285
Chr1	17077636	17080978	17077636	17077805	17080804	17080978	92	---	---	---	---	17080676	17080702	+	74	---	---
Chr1	17086911	17099220	17086911	17087416	17098727	17099220	94	---	---	---	---	17087922	17087941	-	90	17086919	17099219
Chr1	17090376	17100287	17090376	17091449	17099214	17100287	97	---	---	---	---	17099032	17099068	+	72	17090390	17100285
Chr1	17113858	17119869	17113858	17114697	17119031	17119869	95	---	---	---	---	17118836	17118849	+	85	17113860	17119853
Chr1	17127193	17129132	17127193	17127795	17128534	17129132	85	17127176	17127192	17129133	17129149	17128500	17128518	+	73	17127196	17129130
Chr1	17144638	17149051	17144638	17145270	17148431	17149051	93	---	---	---	---	17148294	17148340	+	72	17144648	17149049
Chr1	17180002	17191777	17180002	17181435	17190357	17191777	95	---	---	---	---	17189966	17190011	+	82	17180007	17191772
Chr1	17231286	17240301	17231294	17232719	17238895	17240296	93	17231280	17231285	17240302	17240307	17232833	17232867	-	74	17231296	17240294
Chr1	17241541	17249260	17241541	17242779	17248013	17249260	94	---	---	---	---	17247751	17247775	+	72	---	---
Chr1	17311142	17318896	17311142	17311707	17318333	17318896	95	---	---	---	---	17318113	17318168	+	73	17311142	17318894
Chr1	17327593	17333914	17327593	17328597	17332893	17333914	97	---	---	---	---	17332709	17332732	+	83	17327596	17333907
Chr1	17358227	17369532	17358227	17358664	17369096	17369532	97	---	---	---	---	17368735	17368761	+	70	17358227	17369530
Chr1	17419795	17423849	17419795	17419913	17423736	17423849	94	---	---	---	---	17423572	17423584	+	92	17419806	17423846
Chr1	17436254	17442715	17436254	17437239	17441740	17442715	98	---	---	---	---	17441521	17441534	+	85	17436254	17442713
Chr1	17524384	17531788	17524384	17525172	17531000	17531788	99	---	---	---	---	17530708	17530757	+	74	17524385	17531786
Chr1	17634700	17646374	17634700	17637846	17643232	17646374	99	---	---	---	---	17638087	17638100	-	85	17634701	17646372
Chr1	17665562	17674795	17665572	17666766	17673571	17674791	92	17665557	17665561	17674796	17674800	17673313	17673337	+	88	17665572	17674794
Chr1	17699914	17705442	17699914	17700035	17705321	17705442	98	---	---	---	---	17700201	17700213	-	76	17699917	17705440
Chr1	17773917	17785528	17773917	17774893	17784552	17785528	96	---	---	---	---	17775167	17775187	-	76	17773917	17785526
Chr1	17802350	17808238	17802350	17802633	17807954	17808238	88	---	---	---	---	17807750	17807813	+	75	17802355	17808232
Chr1	17802655	17805897	17802655	17803056	17805496	17805897	91	---	---	---	---	---	---	0	--	17802660	17805895
Chr1	17819713	17833680	17819728	17820288	17833111	17833674	93	17819708	17819712	17833681	17833685	17832914	17832935	+	77	---	---
Chr1	17887071	17892281	17887071	17887509	17891843	17892281	99	---	---	---	---	17887646	17887658	-	100	17887073	17892279
Chr1	18018401	18028011	18018401	18019348	18027057	18028011	95	---	---	---	---	18026688	18026718	+	83	18018403	18027996
Chr1	18080421	18087158	18080432	18080847	18086732	18087148	95	18080416	18080420	18087159	18087163	18086542	18086570	+	72	---	---
Chr1	18115825	18122680	18115833	18117222	18121287	18122673	97	18115820	18115824	18122681	18122685	18117381	18117395	-	93	18115834	18122671
Chr1	18209650	18216092	18209650	18210621	18215119	18216092	98	---	---	---	---	18214900	18214913	+	85	18209650	18216091
Chr1	18288212	18295921	18288212	18289121	18295010	18295921	99	---	---	---	---	18294741	18294760	+	85	18288215	18295919
Chr1	18308342	18319980	18308353	18311472	18316853	18319968	98	18308337	18308341	18319981	18319985	18311713	18311726	-	85	18308345	18319977
Chr1	18358275	18364906	18358275	18359356	18363824	18364906	95	18358270	18358274	18364907	18364911	18359516	18359530	-	93	18358275	18364902
Chr1	18378356	18381575	18378356	18378930	18381002	18381575	92	---	---	---	---	18379005	18379018	-	78	---	---
Chr1	18411920	18417614	18411920	18412103	18417431	18417614	89	---	---	---	---	18412271	18412310	-	77	---	---
Chr1	18423868	18435326	18423883	18425266	18433944	18435312	95	18423863	18423867	18435327	18435331	18425493	18425512	-	80	---	---
Chr1	18545930	18553252	18545935	18546358	18552815	18553238	99	18545925	18545929	18553253	18553257	18546425	18546453	-	72	18545937	18553247
Chr1	18610665	18624055	18610665	18611285	18623418	18624055	85	---	---	---	---	18623021	18623046	+	92	18610667	18624038
Chr1	18628482	18631072	18628482	18628613	18630941	18631072	90	---	---	---	---	---	---	0	--	18628482	18631057
Chr1	18714205	18720422	18714206	18714443	18720185	18720422	95	18714200	18714204	18720423	18720427	18720045	18720087	+	88	---	---
Chr1	18874442	18885708	18874442	18875884	18884153	18885708	87	---	---	---	---	18876228	18876242	-	80	18874443	18885698
Chr1	18909830	18918746	18909844	18910501	18918078	18918733	96	18909825	18909829	18918747	18918751	18917700	18917757	+	81	18909844	18918740
Chr1	19015824	19020841	19015824	19015958	19020707	19020841	97	---	---	---	---	19020525	19020601	+	70	19015824	19020839
Chr1	19235426	19240456	19235431	19235588	19240299	19240456	96	19235421	19235425	19240457	19240461	19235620	19235631	-	91	19235428	19240454
Chr1	19344773	19347779	19344773	19345257	19347294	19347779	95	---	---	---	---	19345307	19345346	-	75	19344774	19347776
Chr1	19415517	19424320	19415517	19416205	19423637	19424320	97	---	---	---	---	19416564	19416577	-	71	---	---
Chr1	19440237	19451648	19440237	19443266	19448619	19451648	99	---	---	---	---	19443507	19443520	-	78	19440238	19451646
Chr1	19555358	19566265	19555358	19559394	19562229	19566265	99	---	---	---	---	19559459	19559499	-	82	19555358	19566262
Chr1	19586110	19594994	19586110	19588987	19592040	19594994	86	---	---	---	---	19591906	19591932	+	74	19586112	19594992
Chr1	19603932	19607607	19603940	19604207	19607332	19607600	94	19603927	19603931	19607608	19607612	19604222	19604240	-	100	---	---
